inchikey,kegg_id,kegg_drug_id
InChIKey=JVTAAEKCZFNVCJ-REOHCLBHSA-N,C00186,
InChIKey=HVYWMOMLDIMFJA-DPAQBDIFSA-N,C00187,D00040
InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N,C00188,D00041
InChIKey=HZAXFHJVJLSVMW-UHFFFAOYSA-N,C00189,D05074
InChIKey=DQQDLYVHOTZLOR-WJCCNOJNSA-N,C00190,
InChIKey=AEMOLEFTQBMNLQ-AQKNRBDQSA-N,C00191,
InChIKey=AVXURJPOCDRRFD-UHFFFAOYSA-N,C00192,
InChIKey=HUMNYLRZRPPJDN-UHFFFAOYSA-N,C00261,D02314
InChIKey=ZIHHMGTYZOSFRC-QRVZQHAISA-L,C00194,
InChIKey=GLDQAMYCGOIJDV-UHFFFAOYSA-N,C00196,
InChIKey=OSJPPGNTCRNQQC-UWTATZPHSA-N,C00197,
InChIKey=PHOQVHQSTUBQQK-SQOUGZDYSA-N,C00198,D04332
InChIKey=FNZLKVNUWIIPSJ-UHNVWZDZSA-N,C00199,
InChIKey=RXGJTUSBYWCRBK-UHFFFAOYSA-M,C00200,
InChIKey=MUCZHBLJLSDCSD-UHFFFAOYSA-N,C00202,D00043
InChIKey=LFTYTUAZOPRMMI-FTFHWYEPSA-N,C00203,
InChIKey=WPAMZTWLKIDIOP-WVZVXSGGSA-N,C00204,
InChIKey=DAEAPNUQQAICNR-RRKCRQDMSA-N,C00206,
InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N,C00207,D02311
InChIKey=GUBGYTABKSRVRQ-PICCSMPSSA-N,C00208,D00044
InChIKey=MUBZPKHOEPUJKR-UHFFFAOYSA-N,C00209,
InChIKey=GMEHCJNOLBZEHN-KHJCFWBBSA-L,C00210,
InChIKey=OIRDTQYFTABQOQ-KQYNXXCUSA-N,C00212,D00045
InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C00213,
InChIKey=IQFYYKKMVGJFEH-XLPZGREQSA-N,C00214,
InChIKey=SRBFZHDQGSBBOR-ZRMNMSDTSA-N,C00216,
InChIKey=WHUUTDBJXJRKMK-GSVOUGTGSA-N,C00217,
InChIKey=BAVYZALUXZFZLV-UHFFFAOYSA-N,C00218,
InChIKey=YZXBAPSDXZZRGB-DOFZRALJSA-N,C00219,
InChIKey=CXKWCBBOMKCUKX-UHFFFAOYSA-M,C00220,
InChIKey=WQZGKKKJIJFFOK-VFUOTHLCSA-N,C00221,
InChIKey=OAKURXIZZOAYBC-UHFFFAOYSA-N,C00222,
InChIKey=DMZOKBALNZWDKI-MATMFAIHSA-N,C00223,
InChIKey=IRLPACMLTUPBCL-KQYNXXCUSA-N,C00224,
InChIKey=FIKAKWIAUPDISJ-UHFFFAOYSA-L,C00225,
InChIKey=LIPOUNRJVLNBCD-UHFFFAOYSA-N,C00227,
InChIKey=YQUVCSBJEUQKSH-UHFFFAOYSA-N,C00230,
InChIKey=FNZLKVNUWIIPSJ-RFZPGFLSSA-N,C00231,
InChIKey=UIUJIQZEACWQSV-UHFFFAOYSA-N,C00232,
InChIKey=BKAJNAXTPSGJCU-UHFFFAOYSA-N,C00233,
InChIKey=AUFGTPPARQZWDO-YUZLPWPTSA-N,C00234,
InChIKey=CBIDRCWHNCKSTO-UHFFFAOYSA-N,C00235,
InChIKey=LJQLQCAXBUHEAZ-UWTATZPHSA-N,C00236,
InChIKey=UGFAIRIUMAVXCW-UHFFFAOYSA-N,C00237,D09706
InChIKey=NPYPAHLBTDXSSS-UHFFFAOYSA-N,C00238,D08403
InChIKey=NCMVOABPESMRCP-SHYZEUOFSA-N,C00239,
InChIKey=UYTPUPDQBNUYGX-UHFFFAOYSA-N,C00242,
InChIKey=GUBGYTABKSRVRQ-QKKXKWKRSA-N,C00243,D00046
InChIKey=GRYLNZFGIOXLOG-UHFFFAOYSA-N,C00244,D02313
InChIKey=XOAAWQZATWQOTB-UHFFFAOYSA-N,C00245,D00047
InChIKey=FERIUCNNQQJTOY-UHFFFAOYSA-N,C00246,
InChIKey=LKDRXBCSQODPBY-AMVSKUEXSA-N,C00247,
InChIKey=FCCDDURTIIUXBY-UHFFFAOYSA-N,C00248,D00048
