het_id,inchikey
06U,InChIKey=KEPLBUUTAQCZOE-AWEZNQCLSA-N
06V,InChIKey=DNZHKQMESCYJCG-AWEZNQCLSA-N
06W,InChIKey=KEPLBUUTAQCZOE-CQSZACIVSA-N
06X,InChIKey=HTIQEAQVCYTUBX-QGZVFWFLSA-N
06Y,InChIKey=LCPDWSOZIOUXRV-UHFFFAOYSA-N
070,InChIKey=CLMSVPLZZGIKTP-MLHJIOFPSA-N
071,InChIKey=SWTRIZHCIUWGAU-UHFFFAOYSA-N
072,InChIKey=GHJJBEKMPCOSRH-LRHLLKFHSA-N
073,InChIKey=GWWTUJWRRCTCSI-AOCUTKQBSA-N
074,InChIKey=UDNIFTKCMDIXFC-ABHRYQDASA-N
075,InChIKey=GNSJNHNIJIEWNZ-SHJYOGRKSA-N
076,InChIKey=ZYLARFCKPNSSDA-OUFDATPMSA-N
077,InChIKey=ILGSIIFHQGOKKV-INIZCTEOSA-N
078,InChIKey=FMWGQMVNSHZGIZ-BSDSXHPESA-N
079,InChIKey=ASWZRLFSSZUWDR-UZMSACSVSA-N
07B,InChIKey=ICVNZKRWDVXSLF-XAMCCFCMSA-N
07G,InChIKey=SIEIUMVPZCCYNR-UHFFFAOYSA-O
07H,InChIKey=WZSVVCINTGQIRF-UHFFFAOYSA-N
07J,InChIKey=QADPYRIHXKWUSV-UHFFFAOYSA-N
07K,InChIKey=TVZPXEZTWRAIID-UHFFFAOYSA-N
07L,InChIKey=ORHBXUUXSCNDEV-UHFFFAOYSA-N
07M,InChIKey=RMZOHPFYZBRDJW-UHFFFAOYSA-N
07N,InChIKey=BGDGHNSKANYMHF-JGVFFNPUSA-N
07O,InChIKey=MKJXBQOLOVPPBW-WPRPVWTQSA-N
07P,InChIKey=BCHXWZQXEKOXKQ-IYKQKVLOSA-N
07Q,InChIKey=PZUHTMLHMMXBQW-GFCCVEGCSA-N
07R,InChIKey=GDVRVPIXWXOKQO-UHFFFAOYSA-N
07S,InChIKey=QCBHCZCWZWNPGE-UHFFFAOYSA-N
07T,InChIKey=ZWKJWVSEDISQIS-RUZDIDTESA-N
07U,InChIKey=WNDOFCPEDZYDPL-UHFFFAOYSA-N
07V,InChIKey=ULDHMXUKGWMISQ-SECBINFHSA-N
